Tran	Gene
ENSRNOT00000000212	ENSRNOG00000000196
ENSRNOT00000000215	ENSRNOG00000000199
ENSRNOT00000000239	ENSRNOG00000000221
ENSRNOT00000000246	ENSRNOG00000000230
ENSRNOT00000000248	ENSRNOG00000029205
ENSRNOT00000000249	ENSRNOG00000000233
ENSRNOT00000000253	ENSRNOG00000000236
ENSRNOT00000000254	ENSRNOG00000000237
ENSRNOT00000000256	ENSRNOG00000000239
ENSRNOT00000000258	ENSRNOG00000002778
ENSRNOT00000000260	ENSRNOG00000027511
ENSRNOT00000000263	ENSRNOG00000000246
ENSRNOT00000000264	ENSRNOG00000000247
ENSRNOT00000000266	ENSRNOG00000000249
ENSRNOT00000000269	ENSRNOG00000000252
ENSRNOT00000000275	ENSRNOG00000000258
ENSRNOT00000000279	ENSRNOG00000000262
ENSRNOT00000000281	ENSRNOG00000000264
ENSRNOT00000000299	ENSRNOG00000000274
ENSRNOT00000000302	ENSRNOG00000000277
ENSRNOT00000000304	ENSRNOG00000000279
ENSRNOT00000000306	ENSRNOG00000038001
ENSRNOT00000000308	ENSRNOG00000000283
ENSRNOT00000000312	ENSRNOG00000037983
ENSRNOT00000000313	ENSRNOG00000000288
ENSRNOT00000000325	ENSRNOG00000028658
ENSRNOT00000000327	ENSRNOG00000000299
ENSRNOT00000000331	ENSRNOG00000000303
ENSRNOT00000000334	ENSRNOG00000000304
ENSRNOT00000000336	ENSRNOG00000000306
ENSRNOT00000000337	ENSRNOG00000000307
ENSRNOT00000000340	ENSRNOG00000037668
ENSRNOT00000000343	ENSRNOG00000000312
ENSRNOT00000000348	ENSRNOG00000000316
ENSRNOT00000000351	ENSRNOG00000000320
ENSRNOT00000000352	ENSRNOG00000000321
ENSRNOT00000000365	ENSRNOG00000000327
ENSRNOT00000000383	ENSRNOG00000000341
ENSRNOT00000000387	ENSRNOG00000000345
ENSRNOT00000000423	ENSRNOG00000000376
ENSRNOT00000000432	ENSRNOG00000000384
ENSRNOT00000000434	ENSRNOG00000000386
ENSRNOT00000000438	ENSRNOG00000000387
ENSRNOT00000000441	ENSRNOG00000000392
ENSRNOT00000000443	ENSRNOG00000000394
ENSRNOT00000000444	ENSRNOG00000000395
ENSRNOT00000000446	ENSRNOG00000000396
ENSRNOT00000000448	ENSRNOG00000000398
ENSRNOT00000000451	ENSRNOG00000000401
ENSRNOT00000000456	ENSRNOG00000000405
ENSRNOT00000000459	ENSRNOG00000000406
ENSRNOT00000000462	ENSRNOG00000000407
ENSRNOT00000000467	ENSRNOG00000000411
ENSRNOT00000000468	ENSRNOG00000000412
ENSRNOT00000000469	ENSRNOG00000000413
ENSRNOT00000000471	ENSRNOG00000000415
ENSRNOT00000000474	ENSRNOG00000000417
ENSRNOT00000000475	ENSRNOG00000026407
ENSRNOT00000000476	ENSRNOG00000000418
ENSRNOT00000000477	ENSRNOG00000051158
ENSRNOT00000000478	ENSRNOG00000000420
ENSRNOT00000000481	ENSRNOG00000000421
ENSRNOT00000000483	ENSRNOG00000000422
ENSRNOT00000000484	ENSRNOG00000000423
ENSRNOT00000000492	ENSRNOG00000000431
ENSRNOT00000000494	ENSRNOG00000000432
ENSRNOT00000000495	ENSRNOG00000000433
ENSRNOT00000000497	ENSRNOG00000000435
ENSRNOT00000000499	ENSRNOG00000000436
ENSRNOT00000000500	ENSRNOG00000000437
ENSRNOT00000000501	ENSRNOG00000000438
ENSRNOT00000000508	ENSRNOG00000000439
ENSRNOT00000000509	ENSRNOG00000000440
ENSRNOT00000000510	ENSRNOG00000000441
ENSRNOT00000000513	ENSRNOG00000000442
ENSRNOT00000000514	ENSRNOG00000000443
ENSRNOT00000000522	ENSRNOG00000033215
ENSRNOT00000000523	ENSRNOG00000000451
ENSRNOT00000000525	ENSRNOG00000032708
ENSRNOT00000000526	ENSRNOG00000000454
ENSRNOT00000000527	ENSRNOG00000000455
ENSRNOT00000000528	ENSRNOG00000000456
ENSRNOT00000000529	ENSRNOG00000000457
ENSRNOT00000000532	ENSRNOG00000000459
ENSRNOT00000000535	ENSRNOG00000000461
ENSRNOT00000000541	ENSRNOG00000000465
ENSRNOT00000000542	ENSRNOG00000000466
ENSRNOT00000000543	ENSRNOG00000000467
ENSRNOT00000000549	ENSRNOG00000000470
ENSRNOT00000000550	ENSRNOG00000000471
ENSRNOT00000000552	ENSRNOG00000031171
ENSRNOT00000000553	ENSRNOG00000000473
ENSRNOT00000000554	ENSRNOG00000000474
ENSRNOT00000000558	ENSRNOG00000000476
ENSRNOT00000000559	ENSRNOG00000000477
ENSRNOT00000000560	ENSRNOG00000000478
ENSRNOT00000000568	ENSRNOG00000000481
ENSRNOT00000000572	ENSRNOG00000000483
ENSRNOT00000000574	ENSRNOG00000026799
ENSRNOT00000000576	ENSRNOG00000000485
ENSRNOT00000000577	ENSRNOG00000000486
ENSRNOT00000000580	ENSRNOG00000000488
ENSRNOT00000000583	ENSRNOG00000000491
ENSRNOT00000000586	ENSRNOG00000000493
ENSRNOT00000000593	ENSRNOG00000000500
ENSRNOT00000000595	ENSRNOG00000000501
ENSRNOT00000000597	ENSRNOG00000000502
ENSRNOT00000000599	ENSRNOG00000022289
ENSRNOT00000000603	ENSRNOG00000000505
ENSRNOT00000000607	ENSRNOG00000000506
ENSRNOT00000000609	ENSRNOG00000000508
ENSRNOT00000000611	ENSRNOG00000000510
ENSRNOT00000000612	ENSRNOG00000000511
ENSRNOT00000000617	ENSRNOG00000000513
ENSRNOT00000000618	ENSRNOG00000000513
ENSRNOT00000000621	ENSRNOG00000000515
ENSRNOT00000000623	ENSRNOG00000000516
ENSRNOT00000000624	ENSRNOG00000000517
ENSRNOT00000000627	ENSRNOG00000000520
ENSRNOT00000000628	ENSRNOG00000000521
ENSRNOT00000000629	ENSRNOG00000000522
ENSRNOT00000000631	ENSRNOG00000000524
ENSRNOT00000000632	ENSRNOG00000000525
ENSRNOT00000000635	ENSRNOG00000000527
ENSRNOT00000000637	ENSRNOG00000000529
ENSRNOT00000000639	ENSRNOG00000000531
ENSRNOT00000000640	ENSRNOG00000000532
ENSRNOT00000000649	ENSRNOG00000000540
ENSRNOT00000000650	ENSRNOG00000000541
ENSRNOT00000000651	ENSRNOG00000000542
ENSRNOT00000000653	ENSRNOG00000000543
ENSRNOT00000000657	ENSRNOG00000000546
ENSRNOT00000000658	ENSRNOG00000000547
ENSRNOT00000000660	ENSRNOG00000000549
ENSRNOT00000000661	ENSRNOG00000024413
ENSRNOT00000000662	ENSRNOG00000000551
ENSRNOT00000000672	ENSRNOG00000000556
ENSRNOT00000000673	ENSRNOG00000000557
ENSRNOT00000000674	ENSRNOG00000000557
ENSRNOT00000000675	ENSRNOG00000000559
ENSRNOT00000000676	ENSRNOG00000000560
ENSRNOT00000000681	ENSRNOG00000000562
ENSRNOT00000000683	ENSRNOG00000000564
ENSRNOT00000000687	ENSRNOG00000000566
ENSRNOT00000000689	ENSRNOG00000000568
ENSRNOT00000000696	ENSRNOG00000000571
ENSRNOT00000000697	ENSRNOG00000000572
ENSRNOT00000000700	ENSRNOG00000000574
ENSRNOT00000000702	ENSRNOG00000000576
ENSRNOT00000000707	ENSRNOG00000000579
ENSRNOT00000000708	ENSRNOG00000000580
ENSRNOT00000000710	ENSRNOG00000000582
ENSRNOT00000000713	ENSRNOG00000000583
ENSRNOT00000000715	ENSRNOG00000000585
ENSRNOT00000000716	ENSRNOG00000000586
ENSRNOT00000000717	ENSRNOG00000000587
ENSRNOT00000000718	ENSRNOG00000000588
ENSRNOT00000000720	ENSRNOG00000000589
ENSRNOT00000000728	ENSRNOG00000000595
ENSRNOT00000000733	ENSRNOG00000000596
ENSRNOT00000000735	ENSRNOG00000000597
ENSRNOT00000000737	ENSRNOG00000000599
ENSRNOT00000000742	ENSRNOG00000000604
ENSRNOT00000000743	ENSRNOG00000000605
ENSRNOT00000000745	ENSRNOG00000000607
ENSRNOT00000000748	ENSRNOG00000000609
ENSRNOT00000000749	ENSRNOG00000000610
ENSRNOT00000000750	ENSRNOG00000000611
ENSRNOT00000000753	ENSRNOG00000000613
ENSRNOT00000000754	ENSRNOG00000000614
ENSRNOT00000000756	ENSRNOG00000000275
ENSRNOT00000000767	ENSRNOG00000000618
ENSRNOT00000000772	ENSRNOG00000000622
ENSRNOT00000000780	ENSRNOG00000000630
ENSRNOT00000000783	ENSRNOG00000000632
ENSRNOT00000000784	ENSRNOG00000000633
ENSRNOT00000000785	ENSRNOG00000000634
ENSRNOT00000000787	ENSRNOG00000000635
ENSRNOT00000000791	ENSRNOG00000000639
ENSRNOT00000000792	ENSRNOG00000000640
ENSRNOT00000000794	ENSRNOG00000000641
ENSRNOT00000000804	ENSRNOG00000000648
ENSRNOT00000000807	ENSRNOG00000000650
ENSRNOT00000000812	ENSRNOG00000000653
ENSRNOT00000000814	ENSRNOG00000000655
ENSRNOT00000000817	ENSRNOG00000000657
ENSRNOT00000000821	ENSRNOG00000000658
ENSRNOT00000000824	ENSRNOG00000000661
ENSRNOT00000000826	ENSRNOG00000000662
ENSRNOT00000000828	ENSRNOG00000000663
ENSRNOT00000000831	ENSRNOG00000000664
ENSRNOT00000000874	ENSRNOG00000000693
ENSRNOT00000000886	ENSRNOG00000000697
ENSRNOT00000000888	ENSRNOG00000000699
ENSRNOT00000000889	ENSRNOG00000000700
ENSRNOT00000000890	ENSRNOG00000000701
ENSRNOT00000000891	ENSRNOG00000000702
ENSRNOT00000000893	ENSRNOG00000000704
ENSRNOT00000000898	ENSRNOG00000000708
ENSRNOT00000000903	ENSRNOG00000000713
ENSRNOT00000000904	ENSRNOG00000040257
ENSRNOT00000000905	ENSRNOG00000000715
ENSRNOT00000000907	ENSRNOG00000000716
ENSRNOT00000000909	ENSRNOG00000000718
ENSRNOT00000000911	ENSRNOG00000000720
ENSRNOT00000000953	ENSRNOG00000000726
ENSRNOT00000000955	ENSRNOG00000000728
ENSRNOT00000000973	ENSRNOG00000000746
ENSRNOT00000000974	ENSRNOG00000000747
ENSRNOT00000000975	ENSRNOG00000000748
ENSRNOT00000000976	ENSRNOG00000000749
ENSRNOT00000000986	ENSRNOG00000000759
ENSRNOT00000000990	ENSRNOG00000000763
ENSRNOT00000000992	ENSRNOG00000000765
ENSRNOT00000000994	ENSRNOG00000000767
ENSRNOT00000000995	ENSRNOG00000000768
ENSRNOT00000000996	ENSRNOG00000050443
ENSRNOT00000001008	ENSRNOG00000000775
ENSRNOT00000001011	ENSRNOG00000000778
ENSRNOT00000001012	ENSRNOG00000000779
ENSRNOT00000001013	ENSRNOG00000000780
ENSRNOT00000001014	ENSRNOG00000000781
ENSRNOT00000001016	ENSRNOG00000000782
ENSRNOT00000001017	ENSRNOG00000031689
ENSRNOT00000001019	ENSRNOG00000032930
ENSRNOT00000001021	ENSRNOG00000000785
ENSRNOT00000001024	ENSRNOG00000000786
ENSRNOT00000001035	ENSRNOG00000000795
ENSRNOT00000001036	ENSRNOG00000000777
ENSRNOT00000001044	ENSRNOG00000000796
ENSRNOT00000001049	ENSRNOG00000000799
ENSRNOT00000001050	ENSRNOG00000000801
ENSRNOT00000001051	ENSRNOG00000000802
ENSRNOT00000001054	ENSRNOG00000000805
ENSRNOT00000001058	ENSRNOG00000000804
ENSRNOT00000001059	ENSRNOG00000000808
ENSRNOT00000001065	ENSRNOG00000000809
ENSRNOT00000001066	ENSRNOG00000029360
ENSRNOT00000001075	ENSRNOG00000000811
ENSRNOT00000001077	ENSRNOG00000000812
ENSRNOT00000001079	ENSRNOG00000000814
ENSRNOT00000001081	ENSRNOG00000000815
ENSRNOT00000001084	ENSRNOG00000000816
ENSRNOT00000001085	ENSRNOG00000000818
ENSRNOT00000001092	ENSRNOG00000000823
ENSRNOT00000001093	ENSRNOG00000000824
ENSRNOT00000001098	ENSRNOG00000000826
ENSRNOT00000001099	ENSRNOG00000000827
ENSRNOT00000001103	ENSRNOG00000000831
ENSRNOT00000001108	ENSRNOG00000000836
ENSRNOT00000001110	ENSRNOG00000000837
ENSRNOT00000001111	ENSRNOG00000000838
ENSRNOT00000001113	ENSRNOG00000000839
ENSRNOT00000001114	ENSRNOG00000000840
ENSRNOT00000001115	ENSRNOG00000000841
ENSRNOT00000001118	ENSRNOG00000000842
ENSRNOT00000001119	ENSRNOG00000000843
ENSRNOT00000001120	ENSRNOG00000000844
ENSRNOT00000001122	ENSRNOG00000000846
ENSRNOT00000001123	ENSRNOG00000000847
ENSRNOT00000001124	ENSRNOG00000000848
ENSRNOT00000001126	ENSRNOG00000000850
ENSRNOT00000001129	ENSRNOG00000000851
ENSRNOT00000001133	ENSRNOG00000000852
ENSRNOT00000001135	ENSRNOG00000000853
ENSRNOT00000001138	ENSRNOG00000000853
ENSRNOT00000001139	ENSRNOG00000000854
ENSRNOT00000001146	ENSRNOG00000000858
ENSRNOT00000001153	ENSRNOG00000000860
ENSRNOT00000001154	ENSRNOG00000000866
ENSRNOT00000001158	ENSRNOG00000000869
ENSRNOT00000001160	ENSRNOG00000000867
ENSRNOT00000001162	ENSRNOG00000000871
ENSRNOT00000001163	ENSRNOG00000059545
ENSRNOT00000001164	ENSRNOG00000000873
ENSRNOT00000001169	ENSRNOG00000000875
ENSRNOT00000001174	ENSRNOG00000000878
ENSRNOT00000001179	ENSRNOG00000000881
ENSRNOT00000001182	ENSRNOG00000000885
ENSRNOT00000001185	ENSRNOG00000000886
ENSRNOT00000001186	ENSRNOG00000000887
ENSRNOT00000001187	ENSRNOG00000000889
ENSRNOT00000001190	ENSRNOG00000000888
ENSRNOT00000001195	ENSRNOG00000000896
ENSRNOT00000001196	ENSRNOG00000000895
ENSRNOT00000001197	ENSRNOG00000000897
ENSRNOT00000001198	ENSRNOG00000042384
ENSRNOT00000001200	ENSRNOG00000000900
ENSRNOT00000001201	ENSRNOG00000000902
ENSRNOT00000001202	ENSRNOG00000000901
ENSRNOT00000001203	ENSRNOG00000000904
ENSRNOT00000001205	ENSRNOG00000000906
ENSRNOT00000001207	ENSRNOG00000000907
ENSRNOT00000001210	ENSRNOG00000000909
ENSRNOT00000001211	ENSRNOG00000000903
ENSRNOT00000001215	ENSRNOG00000000913
ENSRNOT00000001218	ENSRNOG00000000917
ENSRNOT00000001219	ENSRNOG00000000916
ENSRNOT00000001220	ENSRNOG00000000918
ENSRNOT00000001222	ENSRNOG00000000920
ENSRNOT00000001224	ENSRNOG00000000922
ENSRNOT00000001227	ENSRNOG00000000923
ENSRNOT00000001228	ENSRNOG00000000925
ENSRNOT00000001229	ENSRNOG00000000926
ENSRNOT00000001234	ENSRNOG00000000924
ENSRNOT00000001235	ENSRNOG00000000931
ENSRNOT00000001238	ENSRNOG00000000934
ENSRNOT00000001242	ENSRNOG00000000936
ENSRNOT00000001243	ENSRNOG00000000937
ENSRNOT00000001247	ENSRNOG00000000938
ENSRNOT00000001248	ENSRNOG00000000940
ENSRNOT00000001251	ENSRNOG00000000943
ENSRNOT00000001260	ENSRNOG00000000952
ENSRNOT00000001261	ENSRNOG00000000954
ENSRNOT00000001263	ENSRNOG00000000955
ENSRNOT00000001264	ENSRNOG00000000956
ENSRNOT00000001265	ENSRNOG00000000957
ENSRNOT00000001268	ENSRNOG00000000958
ENSRNOT00000001277	ENSRNOG00000000962
ENSRNOT00000001279	ENSRNOG00000000964
ENSRNOT00000001282	ENSRNOG00000000968
ENSRNOT00000001285	ENSRNOG00000000969
ENSRNOT00000001289	ENSRNOG00000000974
ENSRNOT00000001290	ENSRNOG00000000975
ENSRNOT00000001292	ENSRNOG00000000967
ENSRNOT00000001295	ENSRNOG00000000979
ENSRNOT00000001298	ENSRNOG00000000977
ENSRNOT00000001299	ENSRNOG00000000981
ENSRNOT00000001301	ENSRNOG00000000981
ENSRNOT00000001302	ENSRNOG00000000983
ENSRNOT00000001305	ENSRNOG00000000986
ENSRNOT00000001307	ENSRNOG00000000989
ENSRNOT00000001309	ENSRNOG00000000988
ENSRNOT00000001310	ENSRNOG00000000990
ENSRNOT00000001313	ENSRNOG00000000993
ENSRNOT00000001315	ENSRNOG00000000991
ENSRNOT00000001319	ENSRNOG00000000996
ENSRNOT00000001322	ENSRNOG00000000994
ENSRNOT00000001325	ENSRNOG00000001001
ENSRNOT00000001327	ENSRNOG00000001003
ENSRNOT00000001331	ENSRNOG00000001006
ENSRNOT00000001332	ENSRNOG00000001005
ENSRNOT00000001333	ENSRNOG00000001005
ENSRNOT00000001334	ENSRNOG00000001004
ENSRNOT00000001336	ENSRNOG00000001009
ENSRNOT00000001337	ENSRNOG00000001011
ENSRNOT00000001338	ENSRNOG00000021705
ENSRNOT00000001344	ENSRNOG00000001017
ENSRNOT00000001347	ENSRNOG00000001010
ENSRNOT00000001348	ENSRNOG00000042795
ENSRNOT00000001360	ENSRNOG00000001030
ENSRNOT00000001365	ENSRNOG00000001032
ENSRNOT00000001366	ENSRNOG00000001033
ENSRNOT00000001367	ENSRNOG00000001034
ENSRNOT00000001368	ENSRNOG00000001035
ENSRNOT00000001371	ENSRNOG00000001037
ENSRNOT00000001373	ENSRNOG00000001039
ENSRNOT00000001379	ENSRNOG00000001044
ENSRNOT00000001382	ENSRNOG00000001048
ENSRNOT00000001383	ENSRNOG00000001049
ENSRNOT00000001387	ENSRNOG00000001043
ENSRNOT00000001389	ENSRNOG00000001052
ENSRNOT00000001392	ENSRNOG00000001050
ENSRNOT00000001397	ENSRNOG00000001053
ENSRNOT00000001398	ENSRNOG00000001056
ENSRNOT00000001399	ENSRNOG00000001057
ENSRNOT00000001401	ENSRNOG00000001055
ENSRNOT00000001402	ENSRNOG00000001060
ENSRNOT00000001403	ENSRNOG00000001061
ENSRNOT00000001404	ENSRNOG00000001059
ENSRNOT00000001409	ENSRNOG00000001058
ENSRNOT00000001412	ENSRNOG00000001065
ENSRNOT00000001415	ENSRNOG00000001069
ENSRNOT00000001416	ENSRNOG00000001071
ENSRNOT00000001417	ENSRNOG00000001068
ENSRNOT00000001418	ENSRNOG00000001072
ENSRNOT00000001419	ENSRNOG00000001070
ENSRNOT00000001421	ENSRNOG00000001073
ENSRNOT00000001432	ENSRNOG00000001080
ENSRNOT00000001433	ENSRNOG00000001081
ENSRNOT00000001437	ENSRNOG00000001079
ENSRNOT00000001438	ENSRNOG00000001083
ENSRNOT00000001444	ENSRNOG00000001088
ENSRNOT00000001445	ENSRNOG00000001086
ENSRNOT00000001446	ENSRNOG00000001090
ENSRNOT00000001449	ENSRNOG00000001092
ENSRNOT00000001455	ENSRNOG00000001099
ENSRNOT00000001458	ENSRNOG00000001101
ENSRNOT00000001464	ENSRNOG00000001098
ENSRNOT00000001466	ENSRNOG00000001104
ENSRNOT00000001467	ENSRNOG00000001106
ENSRNOT00000001468	ENSRNOG00000001108
ENSRNOT00000001469	ENSRNOG00000001107
ENSRNOT00000001475	ENSRNOG00000001111
ENSRNOT00000001476	ENSRNOG00000001114
ENSRNOT00000001477	ENSRNOG00000001115
ENSRNOT00000001479	ENSRNOG00000001117
ENSRNOT00000001485	ENSRNOG00000001123
ENSRNOT00000001486	ENSRNOG00000001124
ENSRNOT00000001490	ENSRNOG00000001128
ENSRNOT00000001493	ENSRNOG00000001130
ENSRNOT00000001498	ENSRNOG00000001134
ENSRNOT00000001499	ENSRNOG00000001135
ENSRNOT00000001500	ENSRNOG00000001136
ENSRNOT00000001503	ENSRNOG00000001138
ENSRNOT00000001507	ENSRNOG00000001141
ENSRNOT00000001508	ENSRNOG00000001142
ENSRNOT00000001517	ENSRNOG00000021871
ENSRNOT00000001518	ENSRNOG00000001148
ENSRNOT00000001523	ENSRNOG00000001151
ENSRNOT00000001525	ENSRNOG00000001153
ENSRNOT00000001527	ENSRNOG00000001152
ENSRNOT00000001532	ENSRNOG00000001156
ENSRNOT00000001533	ENSRNOG00000001158
ENSRNOT00000001534	ENSRNOG00000001160
ENSRNOT00000001536	ENSRNOG00000001161
ENSRNOT00000001537	ENSRNOG00000001162
ENSRNOT00000001538	ENSRNOG00000001164
ENSRNOT00000001539	ENSRNOG00000001163
ENSRNOT00000001540	ENSRNOG00000001165
ENSRNOT00000001541	ENSRNOG00000001167
ENSRNOT00000001544	ENSRNOG00000001169
ENSRNOT00000001545	ENSRNOG00000001170
ENSRNOT00000001546	ENSRNOG00000001171
ENSRNOT00000001550	ENSRNOG00000022044
ENSRNOT00000001551	ENSRNOG00000001173
ENSRNOT00000001552	ENSRNOG00000001173
ENSRNOT00000001556	ENSRNOG00000001177
ENSRNOT00000001559	ENSRNOG00000001174
ENSRNOT00000001562	ENSRNOG00000001178
ENSRNOT00000001564	ENSRNOG00000001182
ENSRNOT00000001565	ENSRNOG00000001183
ENSRNOT00000001566	ENSRNOG00000001184
ENSRNOT00000001570	ENSRNOG00000001187
ENSRNOT00000001577	ENSRNOG00000001191
ENSRNOT00000001579	ENSRNOG00000001189
ENSRNOT00000001580	ENSRNOG00000001193
ENSRNOT00000001581	ENSRNOG00000001192
ENSRNOT00000001583	ENSRNOG00000001194
ENSRNOT00000001586	ENSRNOG00000001195
ENSRNOT00000001588	ENSRNOG00000001198
ENSRNOT00000001589	ENSRNOG00000049937
ENSRNOT00000001591	ENSRNOG00000001199
ENSRNOT00000001593	ENSRNOG00000001201
ENSRNOT00000001595	ENSRNOG00000001204
ENSRNOT00000001597	ENSRNOG00000001203
ENSRNOT00000001600	ENSRNOG00000028814
ENSRNOT00000001602	ENSRNOG00000001205
ENSRNOT00000001605	ENSRNOG00000001210
ENSRNOT00000001607	ENSRNOG00000027016
ENSRNOT00000001609	ENSRNOG00000001211
ENSRNOT00000001610	ENSRNOG00000001212
ENSRNOT00000001611	ENSRNOG00000001213
ENSRNOT00000001625	ENSRNOG00000001214
ENSRNOT00000001631	ENSRNOG00000001216
ENSRNOT00000001632	ENSRNOG00000001217
ENSRNOT00000001633	ENSRNOG00000001218
ENSRNOT00000001635	ENSRNOG00000001220
ENSRNOT00000001636	ENSRNOG00000001222
ENSRNOT00000001637	ENSRNOG00000038489
ENSRNOT00000001638	ENSRNOG00000001223
ENSRNOT00000001639	ENSRNOG00000001224
ENSRNOT00000001640	ENSRNOG00000001225
ENSRNOT00000001642	ENSRNOG00000001227
ENSRNOT00000001644	ENSRNOG00000001228
ENSRNOT00000001654	ENSRNOG00000001235
ENSRNOT00000001659	ENSRNOG00000001237
ENSRNOT00000001664	ENSRNOG00000001239
ENSRNOT00000001667	ENSRNOG00000001241
ENSRNOT00000001668	ENSRNOG00000001243
ENSRNOT00000001669	ENSRNOG00000049771
ENSRNOT00000001672	ENSRNOG00000037978
ENSRNOT00000001675	ENSRNOG00000001245
ENSRNOT00000001679	ENSRNOG00000001249
ENSRNOT00000001682	ENSRNOG00000001250
ENSRNOT00000001685	ENSRNOG00000001247
ENSRNOT00000001686	ENSRNOG00000001251
ENSRNOT00000001688	ENSRNOG00000001252
ENSRNOT00000001690	ENSRNOG00000001255
ENSRNOT00000001691	ENSRNOG00000001256
ENSRNOT00000001695	ENSRNOG00000001254
ENSRNOT00000001696	ENSRNOG00000001258
ENSRNOT00000001697	ENSRNOG00000001259
ENSRNOT00000001699	ENSRNOG00000001261
ENSRNOT00000001700	ENSRNOG00000001260
ENSRNOT00000001704	ENSRNOG00000001262
ENSRNOT00000001709	ENSRNOG00000001265
ENSRNOT00000001712	ENSRNOG00000001270
ENSRNOT00000001716	ENSRNOG00000001273
ENSRNOT00000001717	ENSRNOG00000001274
ENSRNOT00000001718	ENSRNOG00000001275
ENSRNOT00000001720	ENSRNOG00000001277
ENSRNOT00000001722	ENSRNOG00000001278
ENSRNOT00000001727	ENSRNOG00000047880
ENSRNOT00000001729	ENSRNOG00000001283
ENSRNOT00000001730	ENSRNOG00000001284
ENSRNOT00000001732	ENSRNOG00000001287
ENSRNOT00000001733	ENSRNOG00000001288
ENSRNOT00000001734	ENSRNOG00000001289
ENSRNOT00000001738	ENSRNOG00000001285
ENSRNOT00000001743	ENSRNOG00000001295
ENSRNOT00000001745	ENSRNOG00000001293
